X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
10.5,-5.25,0,-0.10865,-0.13406,-5.30E-04
9,-5.25,0,-9.47E-02,-0.10277,-5.40E-04
7.5,-5.25,0,-8.02E-02,-7.56E-02,-5.40E-04
6,-5.25,0,-6.52E-02,-5.25E-02,-5.24E-04
4.5,-5.25,0,-4.97E-02,-3.38E-02,-4.80E-04
3,-5.25,0,-3.37E-02,-1.94E-02,-3.90E-04
1.5,-5.25,0,-1.72E-02,-8.79E-03,-2.40E-04
48,-0.75,0,-3.95E-02,-1.7789,1.16E-05
48,-1.5,0,-7.90E-02,-1.7791,2.29E-05
48,-2.25,0,-0.11862,-1.7794,3.32E-05
48,-3,0,-0.15845,-1.7799,4.21E-05
48,-3.75,0,-0.19855,-1.7805,4.87E-05
48,-4.5,0,-0.23901,-1.7811,5.36E-05
48,-5.25,0,-0.27999,-1.7818,5.03E-05
48,0,0,-1.73E-09,-1.7788,-2.79E-07
46.5,0,0,-1.73E-09,-1.6972,-2.66E-07
45,0,0,-1.73E-09,-1.6152,-2.53E-07
43.5,0,0,-1.72E-09,-1.5333,-2.40E-07
42,0,0,-1.71E-09,-1.4518,-2.28E-07
40.5,0,0,-1.70E-09,-1.371,-2.15E-07
39,0,0,-1.68E-09,-1.291,-2.02E-07
37.5,0,0,-1.66E-09,-1.2119,-1.89E-07
36,0,0,-1.64E-09,-1.1339,-1.77E-07
34.5,0,0,-1.61E-09,-1.0572,-1.65E-07
33,0,0,-1.58E-09,-0.98183,-1.53E-07
31.5,0,0,-1.54E-09,-0.90806,-1.41E-07
30,0,0,-1.50E-09,-0.83601,-1.30E-07
28.5,0,0,-1.46E-09,-0.76584,-1.19E-07
27,0,0,-1.42E-09,-0.69769,-1.08E-07
25.5,0,0,-1.37E-09,-0.63174,-9.74E-08
24,0,0,-1.31E-09,-0.56813,-8.74E-08
22.5,0,0,-1.26E-09,-0.50702,-7.78E-08
21,0,0,-1.20E-09,-0.44856,-6.86E-08
19.5,0,0,-1.13E-09,-0.39292,-5.98E-08
18,0,0,-1.07E-09,-0.34024,-5.16E-08
16.5,0,0,-9.95E-10,-0.29069,-4.38E-08
15,0,0,-9.21E-10,-0.24443,-3.67E-08
13.5,0,0,-8.44E-10,-0.2016,-3.00E-08
12,0,0,-7.63E-10,-0.16236,-2.40E-08
10.5,0,0,-6.79E-10,-0.12687,-1.86E-08
9,0,0,-5.92E-10,-9.53E-02,-1.38E-08
7.5,0,0,-5.02E-10,-6.77E-02,-9.75E-09
6,0,0,-4.09E-10,-4.44E-02,-6.33E-09
4.5,0,0,-3.14E-10,-2.55E-02,-3.62E-09
3,0,0,-2.16E-10,-1.14E-02,-1.63E-09
1.5,0,0,-1.08E-10,-2.53E-03,-4.02E-10
1.5,-6,0,-2.13E-02,-1.09E-02,7.17E-05
3,-6,0,-3.98E-02,-2.18E-02,-2.28E-04
4.5,-6,0,-5.79E-02,-3.63E-02,-4.13E-04
6,-6,0,-7.55E-02,-5.50E-02,-5.18E-04
7.5,-6,0,-9.26E-02,-7.79E-02,-5.69E-04
9,-6,0,-0.10915,-0.10505,-5.88E-04
10.5,-6,0,-0.12508,-0.13625,-5.89E-04
12,-6,0,-0.14038,-0.17136,-5.79E-04
13.5,-6,0,-0.15507,-0.21022,-5.63E-04
15,-6,0,-0.16913,-0.25268,-5.43E-04
16.5,-6,0,-0.18257,-0.29857,-5.21E-04
18,-6,0,-0.19538,-0.34774,-4.98E-04
19.5,-6,0,-0.20757,-0.40004,-4.74E-04
21,-6,0,-0.21913,-0.45531,-4.49E-04
22.5,-6,0,-0.23007,-0.51339,-4.25E-04
24,-6,0,-0.24038,-0.57413,-4.00E-04
25.5,-6,0,-0.25007,-0.63736,-3.75E-04
27,-6,0,-0.25913,-0.70294,-3.50E-04
28.5,-6,0,-0.26757,-0.77071,-3.25E-04
30,-6,0,-0.27538,-0.84051,-3.00E-04
31.5,-6,0,-0.28257,-0.91218,-2.75E-04
33,-6,0,-0.28913,-0.98558,-2.50E-04
34.5,-6,0,-0.29507,-1.0605,-2.25E-04
36,-6,0,-0.30038,-1.1369,-2.00E-04
37.5,-6,0,-0.30507,-1.2145,-1.76E-04
39,-6,0,-0.30913,-1.2932,-1.51E-04
40.5,-6,0,-0.31258,-1.3728,-1.27E-04
42,-6,0,-0.31542,-1.4533,-1.04E-04
43.5,-6,0,-0.31769,-1.5343,-8.32E-05
45,-6,0,-0.31945,-1.6159,-6.69E-05
46.5,-6,0,-0.32082,-1.6982,-4.60E-05
48,-6,0,-0.322,-1.7824,9.91E-06
48,6,0,0.322,-1.7824,-1.05E-05
46.5,6,0,0.32082,-1.6982,4.54E-05
45,6,0,0.31945,-1.6159,6.64E-05
43.5,6,0,0.31769,-1.5343,8.27E-05
42,6,0,0.31542,-1.4533,1.04E-04
40.5,6,0,0.31258,-1.3728,1.27E-04
39,6,0,0.30913,-1.2932,1.51E-04
37.5,6,0,0.30507,-1.2145,1.75E-04
36,6,0,0.30038,-1.1369,2.00E-04
34.5,6,0,0.29507,-1.0605,2.25E-04
33,6,0,0.28913,-0.98558,2.50E-04
31.5,6,0,0.28257,-0.91218,2.75E-04
30,6,0,0.27538,-0.84051,3.00E-04
28.5,6,0,0.26757,-0.77071,3.25E-04
27,6,0,0.25913,-0.70294,3.50E-04
25.5,6,0,0.25007,-0.63736,3.75E-04
24,6,0,0.24038,-0.57413,4.00E-04
22.5,6,0,0.23007,-0.51339,4.24E-04
21,6,0,0.21913,-0.45531,4.49E-04
19.5,6,0,0.20757,-0.40004,4.73E-04
18,6,0,0.19538,-0.34774,4.97E-04
16.5,6,0,0.18257,-0.29857,5.21E-04
15,6,0,0.16913,-0.25268,5.43E-04
13.5,6,0,0.15507,-0.21022,5.63E-04
12,6,0,0.14038,-0.17136,5.79E-04
10.5,6,0,0.12508,-0.13625,5.89E-04
9,6,0,0.10915,-0.10505,5.88E-04
7.5,6,0,9.26E-02,-7.79E-02,5.69E-04
6,6,0,7.55E-02,-5.50E-02,5.18E-04
4.5,6,0,5.79E-02,-3.63E-02,4.13E-04
3,6,0,3.98E-02,-2.18E-02,2.28E-04
1.5,6,0,2.13E-02,-1.09E-02,-7.17E-05
48,6,0.4,0.322,-1.7824,9.92E-06
46.5,6,0.4,0.32082,-1.6982,-4.59E-05
45,6,0.4,0.31945,-1.6159,-6.69E-05
43.5,6,0.4,0.31769,-1.5343,-8.32E-05
42,6,0.4,0.31542,-1.4533,-1.04E-04
40.5,6,0.4,0.31258,-1.3728,-1.27E-04
39,6,0.4,0.30913,-1.2932,-1.51E-04
37.5,6,0.4,0.30507,-1.2145,-1.76E-04
36,6,0.4,0.30038,-1.1369,-2.00E-04
34.5,6,0.4,0.29507,-1.0605,-2.25E-04
33,6,0.4,0.28913,-0.98558,-2.50E-04
31.5,6,0.4,0.28257,-0.91218,-2.75E-04
30,6,0.4,0.27538,-0.84051,-3.00E-04
28.5,6,0.4,0.26757,-0.77071,-3.25E-04
27,6,0.4,0.25913,-0.70294,-3.50E-04
25.5,6,0.4,0.25007,-0.63736,-3.75E-04
24,6,0.4,0.24038,-0.57413,-4.00E-04
22.5,6,0.4,0.23007,-0.51339,-4.25E-04
21,6,0.4,0.21913,-0.45531,-4.49E-04
19.5,6,0.4,0.20757,-0.40004,-4.74E-04
18,6,0.4,0.19538,-0.34774,-4.98E-04
16.5,6,0.4,0.18257,-0.29857,-5.21E-04
15,6,0.4,0.16913,-0.25268,-5.43E-04
13.5,6,0.4,0.15507,-0.21022,-5.63E-04
12,6,0.4,0.14038,-0.17136,-5.79E-04
10.5,6,0.4,0.12508,-0.13625,-5.89E-04
9,6,0.4,0.10915,-0.10505,-5.88E-04
7.5,6,0.4,9.26E-02,-7.79E-02,-5.69E-04
6,6,0.4,7.55E-02,-5.50E-02,-5.18E-04
4.5,6,0.4,5.79E-02,-3.63E-02,-4.13E-04
3,6,0.4,3.98E-02,-2.18E-02,-2.28E-04
1.5,6,0.4,2.13E-02,-1.09E-02,7.17E-05
1.5,-6,0.4,-2.13E-02,-1.09E-02,-7.17E-05
3,-6,0.4,-3.98E-02,-2.18E-02,2.28E-04
